Nido,Fecha,Hora,Dato,Sexo,Accion,Item
Grallaria_rufula_W4_SDR11,2014/12/10,15:10:59,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/10,15:11:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/10,15:34:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,15:34:58,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,15:40:08,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,15:41:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,16:08:22,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,16:09:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,16:36:28,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/10,16:38:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:06:57,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:08:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:23:07,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:24:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:28:30,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:29:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:47:34,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,17:49:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/10,18:21:00,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/10,2:59:00,off,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/11,3:00:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/11,3:04:56,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/11,5:25:50,on,x,f,oruga coleoptero
Grallaria_rufula_W4_SDR11,2014/12/11,5:25:57,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/11,5:30:55,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/11,5:31:03,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/11,5:52:34,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/11,5:54:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/11,6:38:27,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/11,6:38:36,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/11,6:44:54,on,x,f,x
